n,categoria,url,tipo,resultado
1,playa,https://www.minube.com/rincon/playa-de-gandia-a3673217,descubrimiento,pendiente-licencia
2,playa,https://www.minube.com/categorias/playas-gandia,descubrimiento,pendiente-licencia
3,playa,https://www.visitgandia.com/poi/77/8/4215/folder/asc/playa-nord.html,turismo,pendiente-licencia
4,playa,https://visitgandia.com/pag/4447/playas-de-gandia.html,turismo,pendiente-licencia
5,playa,https://unsplash.com/photos/...ElwARem9dqM,unsplash,DESCARGADA
6,playa,https://unsplash.com/es/fotos/...sGIzQWhsq9g,unsplash,DESCARGADA
7,playa,https://unsplash.com/photos/EyufqFs5r4o,unsplash,DESCARGADA
8,playa,https://unsplash.com/s/photos/gandia-beach,unsplash-busqueda,revisada
9,playa,https://www.flickr.com/photos/javifaus/21990016152/,flickr,ARR-descartada
10,playa,https://www.flickr.com/search/?text=Playa%20de%20Gandia,flickr-busqueda,revisada
11,playa,https://www.flickr.com/search/?text=Platja%20de%20Gandia,flickr-busqueda,revisada
12,playa,https://www.gettyimages.es/fotos/playa-de-gandia-spain,stock-pago,excluida
13,playa,https://www.istockphoto.com/es/fotos/playa-de-gandia,stock-pago,excluida
14,playa,https://www.shutterstock.com/es/search/playa-de-gandia,stock-pago,excluida
15,playa,https://stock.adobe.com/es/search?k=playa+de+gandia,stock-pago,excluida
16,grau,https://www.minube.com/rincon/grao-de-gandia-a22527,descubrimiento,pendiente-licencia
17,puerto,https://www.minube.com/rincon/puerto-de-gandia-a18189,descubrimiento,pendiente-licencia
18,grau,https://visitgandia.com/pag/4496/grao-y-puerto-de-gandia.html,turismo,pendiente-licencia
19,puerto,https://www.visitgandia.com/poi/169/6/4491/...tinglados,turismo,pendiente-licencia
20,puerto,commons File:J29 538 Gandía Puerto,commons,DESCARGADA
21,playa,commons File:J29 543 Hp Playa de Gandía,commons,DESCARGADA
22,grau,https://www.flickr.com/photos/micky_b/14404336227,flickr,ARR-descartada
23,grau,https://www.flickr.com/photos/fjgarcia_gallery/10546819325/,flickr,ARR-descartada
24,puerto,https://www.flickr.com/photos/estpei/37622437444,flickr,ARR-descartada
25,puerto,https://www.flickr.com/search/?text=Puerto%20de%20Gandia,flickr-busqueda,revisada
26,grau,https://www.flickr.com/search/?text=Grau%20de%20Gandia,flickr-busqueda,revisada
27,grau,https://www.flickr.com/search/?text=Port%20de%20Gandia,flickr-busqueda,revisada
28,grau,https://www.minube.com/tips/.../secretos-del-grao-de-gandia,descubrimiento,pendiente-licencia
29,centro,commons File:Gandia. Plaça Major 1,commons,DESCARGADA
30,centro,commons File:Gandía - Plaça Major 4,commons,DESCARGADA (dup/omitida)
31,centro,"commons File:Gandia, plaça Major",commons,DESCARGADA
32,colegiata,commons File:Col·legiata i plaça Major,commons,DESCARGADA
33,colegiata,commons Category:Col·legiata de Gandia,commons-cat,DESCARGADA (8)
34,palau,commons File:Palau Ducal Gandia pati,commons,DESCARGADA
35,palau,commons File:Palau Ducal Portada,commons,DESCARGADA
36,palau,commons File:Sala de les Àguiles,commons,DESCARGADA
37,palau,commons File:escut dels Borja,commons,DESCARGADA
38,palau,commons File:Gandia.Palacio ducal,commons,DESCARGADA
39,palau,commons Category:Palau Ducal de Gandia,commons-cat,DESCARGADA (19)
40,historicas,commons Category:Historical images of Gandia,commons-cat,DESCARGADA (10)
41,patrimonio,https://www.visitgandia.com/pag/4274/...mapaInteractivo,turismo,revisada
42,patrimonio,https://www.visitgandia.com/gnd/...noticia_desc&id=345,turismo,revisada
43,castell,commons File:Castillo de Bairén 03,commons,DESCARGADA
44,castell,commons Category:Castell de Bairén,commons-cat,DESCARGADA (7)
45,naturaleza,https://visitgandia.com/gnd/...showRuta&id=1,turismo,revisada
46,naturaleza,https://www.minube.com/rincon/mareny-de-rafalcaid-a22521,descubrimiento,pendiente-licencia
47,naturaleza,https://www.visitgandia.com/esdev/399/...guias.pdf,turismo-pdf,revisada
48,restaurantes,https://www.minube.com/restaurantes/espana/grao_de_gandia,descubrimiento,pendiente-licencia
49,restaurantes,https://www.tripadvisor.es/Restaurants-g1190269-...,descubrimiento,pendiente-licencia
50,restaurantes,https://www.tripadvisor.es/Restaurants-g659600-...,descubrimiento,pendiente-licencia
51,playa,commons Category:Beaches of Gandia,commons-cat,DESCARGADA (5)
52,lauir,commons Category:Platja de l'Auir,commons-cat,DESCARGADA (10)
53,grau,commons Category:El Grau de Gandia,commons-cat,DESCARGADA (7)
54,puerto,commons Category:Port of Gandia,commons-cat,DESCARGADA (15)
55,puerto,commons Category:Coberts del port de Gandia,commons-cat,DESCARGADA (8)
56,centro,commons Category:Plaça Major (Gandia),commons-cat,DESCARGADA (10)
57,naturaleza,commons Category:Marjal de la Safor,commons-cat,DESCARGADA (10)
