categoria,titulo,autor,fuente,url_pagina,url_imagen,resolucion,licencia,estado,notas
playa,Playa Grau de Gandia,Javi Faus,Flickr,https://www.flickr.com/photos/javifaus/21990016152/,https://live.staticflickr.com/5714/21990016152_9c76420e83_b.jpg,692x1024,All Rights Reserved,descartada,No reutilizable
grau,Grau de Gandia,MickyFlick,Flickr,https://www.flickr.com/photos/micky_b/14404336227,https://live.staticflickr.com/3855/14404336227_86c8ec30ee_b.jpg,1024x721,All Rights Reserved,descartada,No reutilizable
grau,Grau de Gandia 2,F.J. García,Flickr,https://www.flickr.com/photos/fjgarcia_gallery/10546819325/,https://live.staticflickr.com/7357/10546819325_5a2239cbb9_b.jpg,1024x683,All Rights Reserved,descartada,No reutilizable
puerto,La Marina Gandiense 56,Vale (espe),Flickr,https://www.flickr.com/photos/estpei/37622437444,https://live.staticflickr.com/4547/37622437444_174386c17e_b.jpg,1024x657,All Rights Reserved,descartada,No reutilizable
playa,Búsqueda Getty playa de Gandia,varios,Getty Images,https://www.gettyimages.es/fotos/playa-de-gandia-spain,,,stock de pago,no descargada,Excluida por regla: stock de pago
playa,Búsqueda iStock playa de Gandia,varios,iStock,https://www.istockphoto.com/es/fotos/playa-de-gandia,,,stock de pago,no descargada,Excluida por regla: stock de pago
playa,Búsqueda Shutterstock playa de Gandia,varios,Shutterstock,https://www.shutterstock.com/es/search/playa-de-gandia,,,stock de pago,no descargada,Excluida por regla: stock de pago
playa,Búsqueda Adobe Stock playa de Gandia,varios,Adobe Stock,https://stock.adobe.com/es/search?k=playa+de+gandia,,,stock de pago,no descargada,Excluida por regla: stock de pago
playa,Rincón Playa de Gandia,varios usuarios,Minube,https://www.minube.com/rincon/playa-de-gandia-a3673217,,,sin licencia clara,pendiente,Fuente de descubrimiento; licencia de usuario no reutilizable
playa,Categoría playas Gandia,varios usuarios,Minube,https://www.minube.com/categorias/playas-gandia,,,sin licencia clara,pendiente,Descubrimiento
grau,Grao de Gandia,varios usuarios,Minube,https://www.minube.com/rincon/grao-de-gandia-a22527,,,sin licencia clara,pendiente,Descubrimiento
puerto,Puerto de Gandia,varios usuarios,Minube,https://www.minube.com/rincon/puerto-de-gandia-a18189,,,sin licencia clara,pendiente,Descubrimiento
naturaleza,Mareny de Rafalcaid,varios usuarios,Minube,https://www.minube.com/rincon/mareny-de-rafalcaid-a22521,,,sin licencia clara,pendiente,Descubrimiento
restaurantes,Restaurantes Grao de Gandia,varios,Minube,https://www.minube.com/restaurantes/espana/grao_de_gandia,,,sin licencia clara,pendiente,Descubrimiento; sin descarga
restaurantes,Restaurantes Playa de Gandia,varios,Tripadvisor,https://www.tripadvisor.es/Restaurants-g1190269-Playa_de_Gandia_Gandia_Province_of_Valencia_Valencian_Community.html,,,sin licencia clara,pendiente,Descubrimiento; sin descarga
restaurantes,Restaurantes Gandia,varios,Tripadvisor,https://www.tripadvisor.es/Restaurants-g659600-Gandia_Province_of_Valencia_Valencian_Community.html,,,sin licencia clara,pendiente,Descubrimiento; sin descarga
playa,Playas de Gandia (portal turismo),Ajuntament de Gandia,VisitGandia,https://visitgandia.com/pag/4447/playas-de-gandia.html,,,derechos reservados,pendiente,Requiere permiso de Turismo Gandia
playa,Playa Nord (portal turismo),Ajuntament de Gandia,VisitGandia,https://www.visitgandia.com/poi/77/8/4215/folder/asc/playa-nord.html,,,derechos reservados,pendiente,Requiere permiso de Turismo Gandia
grau,Grao y puerto (portal turismo),Ajuntament de Gandia,VisitGandia,https://visitgandia.com/pag/4496/grao-y-puerto-de-gandia.html,,,derechos reservados,pendiente,Requiere permiso de Turismo Gandia
puerto,Tinglados y muelle pesquero (turismo),Ajuntament de Gandia,VisitGandia,https://www.visitgandia.com/poi/169/6/4491/folder/asc/tinglados-y-muelle-pesquero.html,,,derechos reservados,pendiente,Requiere permiso de Turismo Gandia
